*Fold,Track,CWB1,EW1,EW2,EW3,EW4,KO1,MD1,MK1,MM1,OFG1,PP1,PVM1,RRHS1,RRHS2,UUOS1
0,chord_mrx_09_000004,0.7894,0.8407,0.8706,0.8407,0.8524,0.8199,0.8096,0.8072,0.8073,0.7926,0.7338,0.7475,0.7489,0.6508,0.7352
0,chord_mrx_09_000009,0.8404,0.9089,0.8735,0.8987,0.9020,0.9001,0.9433,0.9035,0.8874,0.8592,0.8294,0.8903,0.8400,0.6779,0.8954
0,chord_mrx_09_000013,0.7703,0.8242,0.8188,0.8365,0.8091,0.8448,0.7980,0.7928,0.8084,0.8025,0.6378,0.7976,0.7228,0.5527,0.7292
0,chord_mrx_09_000014,0.8483,0.7932,0.8483,0.7914,0.8739,0.8036,0.6446,0.7985,0.5938,0.6222,0.5277,0.6870,0.5675,0.4356,0.6358
0,chord_mrx_09_000016,0.8130,0.8914,0.8474,0.8627,0.8798,0.8389,0.8842,0.8116,0.9295,0.8554,0.8672,0.8723,0.7960,0.7419,0.8472
0,chord_mrx_09_000020,0.6533,0.4846,0.4860,0.6112,0.5934,0.6994,0.7088,0.6409,0.8113,0.6277,0.5092,0.5215,0.5346,0.4387,0.6890
0,chord_mrx_09_000022,0.8030,0.7645,0.7508,0.7752,0.7679,0.8402,0.7662,0.7740,0.7543,0.8019,0.7172,0.7206,0.7517,0.5179,0.7438
0,chord_mrx_09_000028,0.7561,0.7723,0.7474,0.7543,0.7550,0.7513,0.8301,0.7466,0.8239,0.7461,0.6557,0.7678,0.7533,0.6260,0.6565
0,chord_mrx_09_000029,0.7090,0.7439,0.7029,0.7551,0.7249,0.7888,0.7893,0.7045,0.7781,0.7201,0.6289,0.7170,0.6685,0.5848,0.6629
0,chord_mrx_09_000030,0.5522,0.2057,0.2120,0.8164,0.7258,0.1970,0.7895,0.1998,0.6811,0.2033,0.1910,0.1966,0.2012,0.1868,0.8116
0,chord_mrx_09_000034,0.9071,0.8121,0.7747,0.8253,0.8115,0.9104,0.9040,0.8730,0.8286,0.7356,0.9189,0.8386,0.8240,0.6335,0.9041
0,chord_mrx_09_000036,0.8169,0.8123,0.8641,0.8073,0.8614,0.8629,0.8949,0.8436,0.8728,0.7480,0.7736,0.8093,0.7551,0.6468,0.8086
0,chord_mrx_09_000037,0.8134,0.6925,0.7363,0.6700,0.7506,0.8351,0.7963,0.6998,0.7594,0.8789,0.8131,0.8344,0.7567,0.6557,0.8562
0,chord_mrx_09_000039,0.5841,0.6017,0.5507,0.5887,0.5499,0.6420,0.6505,0.5346,0.6645,0.5255,0.4576,0.6733,0.4713,0.3784,0.5522
0,chord_mrx_09_000042,0.9008,0.8161,0.6593,0.8252,0.8124,0.8726,0.8334,0.8710,0.8425,0.8271,0.6351,0.8545,0.7974,0.7471,0.8154
0,chord_mrx_09_000043,0.8979,0.6211,0.5901,0.6390,0.7225,0.7145,0.6913,0.7184,0.8411,0.5959,0.6222,0.7331,0.7510,0.5483,0.6597
0,chord_mrx_09_000045,0.7763,0.6152,0.5955,0.6233,0.6443,0.8384,0.7220,0.7136,0.8136,0.7820,0.6874,0.6758,0.6812,0.6192,0.8656
0,chord_mrx_09_000050,0.1061,0.1170,0.1259,0.1046,0.0963,0.1191,0.1018,0.1094,0.1139,0.1180,0.1100,0.1030,0.1131,0.0810,0.1070
0,chord_mrx_09_000056,0.7977,0.7810,0.7987,0.7679,0.8560,0.7956,0.8458,0.7854,0.7906,0.8356,0.7855,0.5423,0.8189,0.5061,0.7578
0,chord_mrx_09_000057,0.8689,0.8493,0.8387,0.8852,0.8872,0.9135,0.9117,0.9090,0.9012,0.8292,0.7897,0.7676,0.8586,0.6420,0.8874
0,chord_mrx_09_000059,0.7649,0.7579,0.7036,0.7782,0.7052,0.8217,0.6913,0.6829,0.7055,0.7088,0.5633,0.7357,0.6100,0.5242,0.7539
0,chord_mrx_09_000060,0.8330,0.6310,0.5987,0.6781,0.6804,0.8054,0.8694,0.7474,0.8487,0.8546,0.7306,0.7820,0.8090,0.5983,0.7082
0,chord_mrx_09_000061,0.8329,0.8589,0.8680,0.8534,0.8704,0.8800,0.9093,0.8536,0.8968,0.8116,0.8294,0.7899,0.8304,0.7283,0.8299
0,chord_mrx_09_000062,0.8737,0.8333,0.8291,0.8442,0.8486,0.9193,0.8724,0.8708,0.8953,0.8369,0.7545,0.8805,0.8548,0.6456,0.8762
0,chord_mrx_09_000071,0.8483,0.8550,0.8986,0.8814,0.9075,0.8617,0.7683,0.8204,0.8562,0.8423,0.8599,0.7419,0.7414,0.5884,0.8735
0,chord_mrx_09_000072,0.8970,0.8872,0.8816,0.8821,0.8910,0.8599,0.8348,0.8450,0.8696,0.7460,0.8640,0.8666,0.8247,0.7250,0.8631
0,chord_mrx_09_000073,0.5091,0.6203,0.4576,0.5964,0.7614,0.6099,0.5627,0.3978,0.3470,0.5126,0.3284,0.6851,0.4275,0.1979,0.3436
0,chord_mrx_09_000075,0.9100,0.8701,0.8413,0.8766,0.8668,0.8452,0.9125,0.8311,0.8628,0.8496,0.8518,0.8568,0.8078,0.7092,0.8613
0,chord_mrx_09_000077,0.9140,0.8493,0.8533,0.8408,0.8598,0.8959,0.8878,0.8911,0.9014,0.9046,0.7732,0.8859,0.8841,0.7242,0.8764
0,chord_mrx_09_000080,0.8304,0.6392,0.6608,0.6567,0.6740,0.7436,0.8136,0.6824,0.8492,0.7432,0.7800,0.7612,0.7441,0.6337,0.8154
0,chord_mrx_09_000086,0.7887,0.7332,0.7396,0.7613,0.7558,0.6756,0.7806,0.7103,0.7197,0.7112,0.6633,0.6932,0.7311,0.5311,0.6223
0,chord_mrx_09_000092,0.7419,0.6559,0.6356,0.7012,0.6907,0.7049,0.7923,0.7184,0.7482,0.7453,0.6979,0.6855,0.7036,0.6070,0.7315
0,chord_mrx_09_000094,0.6308,0.7683,0.7754,0.7820,0.8081,0.7320,0.6581,0.7348,0.6159,0.3230,0.7638,0.6814,0.5318,0.3943,0.6542
0,chord_mrx_09_000099,0.7671,0.6627,0.5550,0.6676,0.5885,0.7944,0.7450,0.7124,0.7171,0.7622,0.7572,0.6807,0.7075,0.4725,0.8278
0,chord_mrx_09_000102,0.8361,0.8787,0.8225,0.8723,0.8743,0.7955,0.8006,0.7726,0.6259,0.8160,0.8032,0.8495,0.5931,0.4839,0.4222
0,chord_mrx_09_000103,0.7695,0.7222,0.6728,0.7266,0.7002,0.7459,0.7338,0.7013,0.7256,0.6591,0.6611,0.7020,0.6613,0.5239,0.7173
0,chord_mrx_09_000112,0.9400,0.9100,0.8980,0.9097,0.9018,0.8995,0.9122,0.9069,0.8887,0.9051,0.7546,0.8812,0.8735,0.5806,0.8851
0,chord_mrx_09_000113,0.8787,0.8308,0.8124,0.8675,0.8613,0.8709,0.8513,0.8216,0.9033,0.8513,0.7253,0.8072,0.8082,0.7596,0.7954
0,chord_mrx_09_000115,0.8212,0.5594,0.5068,0.7090,0.6959,0.5821,0.7526,0.5788,0.7536,0.5532,0.5911,0.5660,0.5401,0.4126,0.6124
0,chord_mrx_09_000117,0.9327,0.9011,0.8925,0.9335,0.9152,0.8688,0.9614,0.8601,0.8923,0.8856,0.8635,0.9113,0.8635,0.7038,0.8831
0,chord_mrx_09_000122,0.7515,0.6650,0.6635,0.7019,0.7097,0.8037,0.7839,0.7632,0.7850,0.8238,0.6955,0.7398,0.7570,0.6114,0.7506
0,chord_mrx_09_000123,0.9317,0.8850,0.8806,0.8889,0.8930,0.9078,0.9255,0.9065,0.9287,0.9431,0.9027,0.8983,0.9013,0.4957,0.9056
0,chord_mrx_09_000124,0.8614,0.8873,0.8128,0.8979,0.8544,0.8835,0.8941,0.8696,0.9184,0.8221,0.8304,0.8732,0.8203,0.6701,0.8839
0,chord_mrx_09_000126,0.6280,0.7152,0.7155,0.7089,0.7209,0.7151,0.7317,0.7008,0.7822,0.7416,0.7470,0.5337,0.6806,0.6248,0.7000
0,chord_mrx_09_000131,0.9511,0.8648,0.8881,0.9042,0.9449,0.9212,0.9023,0.9155,0.9152,0.9562,0.6862,0.9640,0.9329,0.8227,0.9310
0,chord_mrx_09_000135,0.7784,0.7389,0.7308,0.7676,0.7498,0.7979,0.8493,0.7878,0.8372,0.6981,0.7199,0.8995,0.7203,0.6121,0.7345
0,chord_mrx_09_000136,0.9012,0.8832,0.8611,0.8649,0.8750,0.9084,0.8959,0.8658,0.8497,0.8292,0.7350,0.8896,0.8523,0.6424,0.8215
0,chord_mrx_09_000137,0.9144,0.8319,0.8483,0.8509,0.8731,0.9114,0.9271,0.8431,0.8930,0.8623,0.8492,0.9247,0.8751,0.6915,0.8083
0,chord_mrx_09_000139,0.8863,0.8821,0.8693,0.9028,0.8780,0.8907,0.9533,0.9159,0.9196,0.8747,0.9011,0.9042,0.8469,0.7557,0.9218
0,chord_mrx_09_000141,0.9031,0.8516,0.8675,0.8240,0.8597,0.9318,0.8884,0.8877,0.8239,0.9050,0.8736,0.9012,0.8400,0.6449,0.8953
0,chord_mrx_09_000142,0.7895,0.7818,0.7751,0.7535,0.7780,0.7948,0.8104,0.7910,0.8048,0.7125,0.7206,0.8030,0.7301,0.5851,0.8013
0,chord_mrx_09_000144,0.8612,0.3337,0.3887,0.3968,0.5235,0.8644,0.7335,0.6587,0.5706,0.8468,0.2640,0.6981,0.6167,0.5884,0.7490
0,chord_mrx_09_000145,0.7945,0.8732,0.8737,0.8756,0.8728,0.7666,0.7290,0.7185,0.7179,0.7864,0.9043,0.6844,0.5731,0.3078,0.7833
0,chord_mrx_09_000147,0.5385,0.4570,0.3673,0.5483,0.5667,0.6348,0.7060,0.6242,0.6931,0.6015,0.5057,0.5805,0.5216,0.3204,0.6590
0,chord_mrx_09_000148,0.8870,0.7731,0.7764,0.7885,0.8648,0.8931,0.8822,0.8687,0.8580,0.8342,0.8548,0.8678,0.8249,0.6896,0.8637
0,chord_mrx_09_000149,0.9156,0.8151,0.8522,0.8100,0.8803,0.8918,0.9012,0.8651,0.8313,0.8638,0.8410,0.7992,0.7938,0.6496,0.8547
0,chord_mrx_09_000151,0.1893,0.0023,0.0023,0.1929,0.1951,0.1678,0.2230,0.0000,0.1981,0.0181,0.0023,0.0013,0.0000,0.0378,0.1800
0,chord_mrx_09_000153,0.8764,0.5363,0.5917,0.6930,0.6307,0.8887,0.8826,0.8114,0.9060,0.8220,0.7537,0.8766,0.8050,0.6976,0.8430
0,chord_mrx_09_000156,0.8774,0.8375,0.8219,0.8571,0.8428,0.8922,0.8504,0.8748,0.8736,0.8655,0.8173,0.8586,0.8277,0.7288,0.8569
0,chord_mrx_09_000157,0.7971,0.8440,0.8106,0.8256,0.8691,0.8457,0.8382,0.7520,0.7979,0.8933,0.8465,0.7978,0.7532,0.6711,0.8774
0,chord_mrx_09_000159,0.8172,0.6482,0.7184,0.6975,0.7798,0.8240,0.8017,0.7868,0.8183,0.6764,0.6344,0.7922,0.7402,0.6872,0.7789
0,chord_mrx_09_000162,0.9425,0.8844,0.8818,0.8787,0.8701,0.8943,0.9067,0.8796,0.8844,0.9471,0.8848,0.8623,0.9223,0.6657,0.8709
0,chord_mrx_09_000163,0.7774,0.7814,0.7942,0.7952,0.7978,0.7433,0.7765,0.7274,0.7214,0.5743,0.5143,0.7810,0.6508,0.4915,0.6453
0,chord_mrx_09_000168,0.8409,0.8319,0.8355,0.8640,0.8492,0.8452,0.9260,0.7537,0.8707,0.8186,0.7111,0.8317,0.7483,0.6023,0.7986
0,chord_mrx_09_000174,0.9622,0.9248,0.8577,0.9146,0.8725,0.9163,0.9501,0.9337,0.9614,0.9278,0.9074,0.8919,0.8909,0.7743,0.9245
0,chord_mrx_09_000183,0.9333,0.8744,0.8350,0.9204,0.9082,0.9218,0.9351,0.8981,0.8693,0.9187,0.8937,0.8522,0.9072,0.5872,0.8422
0,chord_mrx_09_000186,0.9581,0.9319,0.8324,0.9341,0.9072,0.8543,0.7789,0.8781,0.8566,0.9162,0.6803,0.6355,0.8954,0.5031,0.8498
0,chord_mrx_09_000187,0.9073,0.9010,0.7500,0.8712,0.8818,0.7952,0.8948,0.7407,0.8409,0.7586,0.7159,0.9172,0.7547,0.5247,0.8276
0,chord_mrx_09_000188,0.8324,0.8393,0.7848,0.8073,0.8422,0.8392,0.8816,0.8173,0.8580,0.7171,0.7867,0.8165,0.7910,0.6888,0.8083
0,chord_mrx_09_000193,0.8666,0.7656,0.7360,0.7891,0.7595,0.8723,0.8741,0.8417,0.8856,0.8035,0.7672,0.8626,0.8888,0.7945,0.8365
0,chord_mrx_09_000202,0.8940,0.8984,0.8641,0.8983,0.8964,0.9142,0.9057,0.8848,0.8395,0.8024,0.8438,0.8699,0.7659,0.4730,0.8314
0,chord_mrx_09_000206,0.5219,0.5879,0.5985,0.5862,0.5935,0.5558,0.6066,0.5126,0.7093,0.5851,0.5977,0.4209,0.5498,0.3981,0.5859
0,chord_mrx_09_000208,0.8795,0.8576,0.8269,0.8590,0.8529,0.9117,0.8672,0.8364,0.8995,0.8810,0.8055,0.8548,0.8358,0.4838,0.8239
0,chord_mrx_09_000216,0.9073,0.9116,0.9098,0.9105,0.9220,0.9363,0.9282,0.9324,0.9118,0.9114,0.8734,0.9145,0.8768,0.6778,0.9458
1,chord_mrx_09_000001,0.8882,0.7872,0.8407,0.8069,0.7790,0.8253,0.8984,0.8093,0.9189,0.8342,0.7515,0.8244,0.8327,0.6962,0.8593
1,chord_mrx_09_000002,0.8232,0.8529,0.8486,0.8087,0.8330,0.8507,0.8953,0.8601,0.8493,0.8709,0.8361,0.8510,0.8335,0.6251,0.8450
1,chord_mrx_09_000003,0.8951,0.8630,0.8630,0.8918,0.8896,0.8195,0.8394,0.8064,0.8269,0.7871,0.8444,0.9050,0.7407,0.6273,0.8025
1,chord_mrx_09_000006,0.7276,0.7748,0.7712,0.7748,0.7714,0.7430,0.7523,0.7275,0.7617,0.7156,0.6663,0.6095,0.6391,0.5177,0.7331
1,chord_mrx_09_000007,0.8495,0.8359,0.8130,0.8713,0.8675,0.7996,0.8133,0.7636,0.8068,0.8359,0.8499,0.8145,0.8229,0.6448,0.8569
1,chord_mrx_09_000008,0.7925,0.8087,0.7822,0.8200,0.8138,0.8191,0.9172,0.7988,0.9223,0.8485,0.7776,0.8344,0.8084,0.6825,0.7752
1,chord_mrx_09_000010,0.7418,0.4996,0.5318,0.5940,0.6057,0.7772,0.7438,0.7596,0.6868,0.7778,0.5352,0.6907,0.7006,0.5027,0.7760
1,chord_mrx_09_000012,0.6698,0.8283,0.8542,0.8294,0.8620,0.7513,0.7481,0.6684,0.7752,0.8045,0.7684,0.3810,0.7625,0.4804,0.8253
1,chord_mrx_09_000015,0.6889,0.6350,0.5906,0.6107,0.6470,0.6830,0.6929,0.6889,0.6799,0.6193,0.4197,0.6643,0.6082,0.5458,0.6272
1,chord_mrx_09_000018,0.8608,0.8400,0.8401,0.8460,0.8464,0.8581,0.9227,0.8577,0.9391,0.8467,0.8377,0.8435,0.8403,0.7946,0.8931
1,chord_mrx_09_000019,0.6279,0.6304,0.5869,0.7305,0.7650,0.7293,0.6618,0.6079,0.7152,0.4232,0.5787,0,0.5213,0.4706,0.6933
1,chord_mrx_09_000025,0.8025,0.8663,0.8162,0.8707,0.8684,0.8520,0.8274,0.8136,0.8277,0.8004,0.7870,0.8028,0.7403,0.6015,0.8145
1,chord_mrx_09_000026,0.9507,0.9152,0.9156,0.9282,0.9323,0.9246,0.9455,0.9058,0.8997,0.9433,0.9530,0.9147,0.8992,0.7581,0.9372
1,chord_mrx_09_000035,0.7529,0.8036,0.7772,0.8074,0.7564,0.8722,0.8053,0.8301,0.8205,0.7010,0.4933,0.7989,0.5983,0.5298,0.7243
1,chord_mrx_09_000046,0.7786,0.7787,0.7630,0.8119,0.8096,0.8334,0.8279,0.7486,0.7774,0.7165,0.7018,0.7577,0.6609,0.5964,0.7505
1,chord_mrx_09_000049,0.7577,0.7912,0.7494,0.7486,0.7285,0.6604,0.6744,0.6694,0.6650,0.5474,0.8486,0.6438,0.6913,0.4646,0.8089
1,chord_mrx_09_000053,0.7227,0.0373,0.0924,0.0353,0.8514,0.3144,0.2430,0.0816,0.3303,0.6738,0.1216,0.0280,0.1919,0.2997,0.1906
1,chord_mrx_09_000063,0.7104,0.5176,0.5172,0.6123,0.6104,0.4927,0.6291,0.4656,0.7843,0.6084,0,0.4651,0.6657,0.4890,0.6166
1,chord_mrx_09_000064,0.6769,0.6785,0.6778,0.6723,0.6771,0.7974,0.7438,0.7434,0.6916,0.6954,0.5679,0.7145,0.6834,0.4412,0.7301
1,chord_mrx_09_000065,0.7205,0.7653,0.7050,0.7536,0.7292,0.7645,0.8601,0.7074,0.7874,0.7560,0.7597,0.6979,0.7427,0.6650,0.7500
1,chord_mrx_09_000066,0.7355,0.7527,0.7428,0.7716,0.7656,0.7672,0.8134,0.7276,0.8005,0.7059,0.7076,0.7079,0.6858,0.5561,0.7067
1,chord_mrx_09_000067,0.7415,0.8280,0.7605,0.8412,0.8652,0.9001,0.6675,0.8784,0.7654,0.6680,0.7098,0.6491,0.7403,0.5196,0.8940
1,chord_mrx_09_000074,0.8843,0.7838,0.7875,0.8344,0.8079,0.8786,0.8524,0.8570,0.8747,0.7848,0.7304,0.8300,0.7936,0.7295,0.8328
1,chord_mrx_09_000076,0.8731,0.8582,0.8540,0.8974,0.8993,0.8869,0.8572,0.8122,0.8562,0.8167,0.7997,0.8303,0.7491,0.6307,0.7744
1,chord_mrx_09_000079,0.7928,0.8209,0.8266,0.8538,0.9081,0.7868,0.9001,0.7353,0.8871,0.8326,0.7470,0.8911,0.8478,0.5865,0.7205
1,chord_mrx_09_000081,0.9070,0.9113,0.9119,0.9282,0.9222,0.8361,0.8500,0.8159,0.8372,0.8865,0.9276,0.8363,0.8820,0.6172,0.9040
1,chord_mrx_09_000082,0.8698,0.8381,0.8222,0.8379,0.8223,0.8540,0.8569,0.8559,0.8746,0.8495,0.7928,0.8063,0.8634,0.8589,0.8662
1,chord_mrx_09_000083,0.8521,0.9037,0.8761,0.9043,0.8970,0.8388,0.8918,0.8295,0.8445,0.8664,0.8328,0.8939,0.8474,0.7387,0.8749
1,chord_mrx_09_000084,0.8873,0.8340,0.6364,0.8166,0.7799,0.7628,0.7840,0.5675,0.7099,0.8995,0.7777,0.6563,0.7515,0.4645,0.8197
1,chord_mrx_09_000089,0.7361,0.8244,0.7901,0.8247,0.8331,0.7346,0.8201,0.7113,0.8324,0.7325,0.6638,0.7426,0.6960,0.5478,0.8030
1,chord_mrx_09_000093,0.5929,0.6462,0.6217,0.8669,0.9328,0.7479,0.7485,0.6865,0.7913,0.5787,0.5463,0.3715,0.6243,0.5060,0.8073
1,chord_mrx_09_000095,0.6357,0.5696,0.5413,0.6115,0.6363,0.6075,0.7245,0.6146,0.7683,0.7252,0.6414,0.5539,0.6385,0.4876,0.6391
1,chord_mrx_09_000096,0.9677,0.8771,0.8741,0.8835,0.8839,0.9143,0.9303,0.8932,0.9282,0.8966,0.8184,0.9171,0.8616,0.7461,0.8895
1,chord_mrx_09_000100,0.8638,0.8330,0.8048,0.8271,0.7970,0.8191,0.9437,0.8182,0.8560,0.7659,0.7426,0.8619,0.7810,0.6378,0.8385
1,chord_mrx_09_000101,0.8973,0.9072,0.9189,0.9033,0.9219,0.9158,0.9422,0.9122,0.9210,0.9026,0.8793,0.9161,0.8793,0.8191,0.9068
1,chord_mrx_09_000104,0.8643,0.7749,0.7720,0.8277,0.8270,0.8406,0.8622,0.8376,0.8664,0.7990,0.7812,0.6949,0.7901,0.5983,0.8082
1,chord_mrx_09_000106,0.8883,0.9197,0.8781,0.8933,0.9011,0.8901,0.9505,0.8898,0.9319,0.8566,0.8837,0.7936,0.8641,0.7024,0.9111
1,chord_mrx_09_000111,0.8230,0.7538,0.7583,0.7570,0.7551,0.7701,0.8287,0.7735,0.8571,0.7886,0.7294,0.8046,0.8094,0.6087,0.7887
