*Fold,Track,BUURO1,BUURO2,BUURO3,BUURO4,BUURO5,CB1,CB2,CB3,KO1,KO2,NM1,NMSD1,NMSD2,NMSD3,PVM1,RHRC1,UUOS1,UUROS1
0,chord_mrx_09_000000,0.1811,0.0647,0.3599,0.0972,0.0486,0.8783,0.8757,0.8762,0.8770,0.8468,0.8322,0.7592,1.0000,0.8470,0.6950,0.7976,0.7557,0.3626
0,chord_mrx_09_000001,0.3580,0.2464,0.6762,0.1882,0.1697,0.8391,0.9454,0.8823,0.8847,0.8495,0.8714,0.8408,1.0000,0.8632,0.8142,0.8265,0.8593,0.6728
0,chord_mrx_09_000002,0.1769,0.1564,0.2559,0.1410,0.0909,0.9105,0.9199,0.9192,0.9185,0.8990,0.8614,0.8560,1.0000,0.8723,0.8570,0.8512,0.8450,0.2564
0,chord_mrx_09_000003,0.2575,0.2620,0.3172,0.2331,0.2035,0.8967,0.9129,0.9082,0.8900,0.8280,0.8106,0.8193,1.0000,0.7953,0.9035,0.7409,0.8025,0.3183
0,chord_mrx_09_000004,0.2797,0.2416,0.3930,0.2164,0.1709,0.8090,0.8256,0.8181,0.8271,0.8202,0.8232,0.8119,1.0000,0.8341,0.7495,0.7424,0.7352,0.3905
0,chord_mrx_09_000005,0.2207,0.1240,0.2485,0.2146,0.0445,0.7044,0.8101,0.7946,0.8068,0.7860,0.8114,0.7893,0.9944,0.8063,0.7733,0.7141,0.7450,0.2491
0,chord_mrx_09_000006,0.0538,0.0702,0.0981,0.0492,0.0707,0.7775,0.7934,0.7930,0.7779,0.7681,0.7966,0.7712,1.0000,0.7749,0.6195,0.6308,0.7331,0.0990
0,chord_mrx_09_000007,0.0903,0.0907,0.1163,0.0766,0.0743,0.8698,0.8593,0.8621,0.8492,0.8405,0.9075,0.9231,1.0000,0.8730,0.8066,0.8130,0.8569,0.1152
0,chord_mrx_09_000008,0.2907,0.1610,0.4385,0.2528,0.1044,0.8728,0.8068,0.7883,0.8346,0.8228,0.7824,0.7775,1.0000,0.8711,0.8380,0.8034,0.7752,0.4393
0,chord_mrx_09_000009,0.1704,0.1640,0.5336,0.1133,0.0999,0.9387,0.8759,0.8617,0.8984,0.9033,0.9240,0.9146,1.0000,0.9402,0.8886,0.8584,0.8954,0.5362
0,chord_mrx_09_000010,0.1970,0.1058,0.2856,0.1440,0.0848,0.7054,0.8464,0.8110,0.8454,0.8097,0.6778,0.6038,1.0000,0.6544,0.6739,0.7224,0.7760,0.2855
0,chord_mrx_09_000011,0.3299,0.2084,0.5194,0.2279,0.1532,0.8044,0.9125,0.8914,0.8525,0.8518,0.8573,0.8423,1.0000,0.8786,0.8209,0.7229,0.8161,0.5179
0,chord_mrx_09_000012,0.1315,0.1138,0.1562,0.1109,0.0982,0.8463,0.8818,0.8784,0.8931,0.8590,0.9009,0.8621,1.0000,0.8718,0.5009,0.7364,0.8253,0.1570
