*Fold,Track,CCSS1,DMW1,KO1,NG1,NMSD1,NMSD2,NMSD3,NMSD4,PMP1,PMP2,PMP3
0,1002,0.6695,0.6231,0.6941,0.7262,0.7296,0.7439,0.7392,0.7381,0.6092,0.5954,0.5904
0,1003,0.5833,0.5767,0.5751,0.5784,0.6081,0.6372,0.6375,0.6911,0.5542,0.5607,0.5722
0,1006,0.8845,0.8606,0.8878,0.9486,0.8311,0.8792,0.8814,0.9108,0.8063,0.8079,0.7844
0,1007,0.9174,0.8837,0.9429,0.9400,0.9384,0.9398,0.9398,0.9371,0.8848,0.8864,0.8864
0,1009,0.7638,0.7118,0.8009,0.7950,0.7939,0.7757,0.7795,0.7709,0.7644,0.6985,0.7194
0,1011,0.9169,0.9114,0.9450,0.7962,0.8775,0.9077,0.8927,0.8989,0.9077,0.9087,0.9039
0,1012,0.5116,0.5311,0.6428,0.4933,0.6355,0.6693,0.6376,0.6256,0.5418,0.5311,0.4739
0,1013,0.6296,0.4912,0.5169,0.5042,0.6572,0.5983,0.6473,0.6168,0.4857,0.4839,0.5193
0,1014,0.6253,0.6183,0.8669,0.8024,0.5814,0.7174,0.6709,0.6529,0.5116,0.5222,0.5194
0,1016,0.6325,0.2672,0.7084,0.5431,0.7204,0.8227,0.8155,0.8525,0.6743,0.6699,0.6550
0,1018,0.8167,0.8506,0.7280,0.7106,0.7541,0.7327,0.7386,0.7228,0.8676,0.8610,0.8159
0,1019,0.7362,0.6569,0.7248,0.6667,0.7430,0.8140,0.8078,0.7341,0.7181,0.7022,0.7066
0,1020,0.5478,0.5555,0.6302,0.3848,0.8377,0.7199,0.7228,0.6471,0.6122,0.6034,0.6322
0,1021,0.8786,0.8636,0.9566,0.7960,0.9708,0.9708,0.9708,0.9708,0.9209,0.9209,0.9209
0,1022,0.8603,0.8458,0.8817,0.7031,0.8170,0.8559,0.8457,0.8385,0.8617,0.8652,0.8360
0,1024,0.5285,0.6294,0.6449,0.6797,0.7752,0.7629,0.7514,0.7637,0.6186,0.6371,0.5643
0,1025,0.5645,0.5412,0.5869,0.5669,0.5515,0.5539,0.5473,0.5656,0.5340,0.5363,0.5344
0,1032,0.5736,0.4691,0.6232,0.5704,0.5652,0.5585,0.5602,0.5696,0.5213,0.5415,0.5187
0,1033,0.6992,0.7113,0.7265,0.7164,0.7190,0.7255,0.7255,0.7101,0.7076,0.7052,0.6832
0,1034,0.7292,0.7416,0.7684,0.7182,0.7553,0.7244,0.7284,0.7286,0.7548,0.7389,0.7331
0,1037,0.6301,0.5320,0.7174,0.5948,0.6839,0.6721,0.6849,0.6856,0.6854,0.7150,0.6544
0,1039,0.8735,0.9085,0.9254,0.8273,0.9282,0.8828,0.8830,0.9251,0.9029,0.8966,0.9214
0,1040,0.8529,0.8932,0.9450,0.8527,0.9392,0.9383,0.9406,0.9337,0.8713,0.8740,0.8766
0,1041,0.8958,0.8944,0.9281,0.9216,0.9289,0.9279,0.9246,0.9302,0.8950,0.8948,0.8877
0,1042,0.5903,0.6065,0.6412,0.6208,0.6565,0.6439,0.6503,0.6598,0.5966,0.6071,0.5948
0,1043,0.4843,0.6052,0.6066,0.5832,0.6250,0.6406,0.6419,0.6339,0.5514,0.5356,0.5329
0,1044,0.7641,0.7947,0.7700,0.6684,0.7912,0.8051,0.8113,0.7175,0.7002,0.5968,0.7160
0,1045,0.8733,0.8615,0.8989,0.9221,0.9075,0.8995,0.9034,0.8928,0.8886,0.8959,0.9004
0,1046,0.8372,0.8311,0.8073,0.7975,0.8006,0.7419,0.7560,0.7362,0.8045,0.7879,0.7442
0,1048,0.6537,0.6913,0.7192,0.4910,0.7079,0.6550,0.6560,0.6446,0.6407,0.6081,0.6191
0,1051,0.7299,0.6755,0.6970,0.6088,0.7715,0.8052,0.7952,0.7933,0.8606,0.8289,0.7078
0,1052,0.5633,0.4659,0.6284,0.4273,0.8177,0.8002,0.8173,0.8336,0.5262,0.5313,0.4945
0,1053,0.4201,0.4393,0.4610,0.4200,0.5506,0.5709,0.5709,0.5490,0.4508,0.4423,0.4042
0,1054,0.7592,0.8175,0.8629,0.8898,0.8329,0.8444,0.8391,0.8275,0.8310,0.8347,0.8020
0,1055,0.7099,0.7750,0.7892,0.7698,0.7641,0.7782,0.7699,0.7644,0.7109,0.7158,0.6308
0,1056,0.5668,0.3575,0.5767,0.3119,0.5829,0.6499,0.6453,0.6422,0.5168,0.4987,0.5431
0,1058,0.7267,0.5350,0.7537,0.6112,0.7951,0.7306,0.7306,0.7368,0.6176,0.6434,0.6545
0,1059,0.8885,0.8713,0.9450,0.8650,0.9323,0.9388,0.9388,0.9373,0.8569,0.8297,0.7704
0,1061,0.6251,0.5913,0.6230,0.5417,0.7673,0.8018,0.8005,0.8087,0.6471,0.6449,0.6538
0,1062,0.6020,0.8158,0.8841,0.8805,0.8140,0.8006,0.8055,0.7800,0.7912,0.4726,0.6745
0,1063,0.8684,0.8589,0.9207,0.8705,0.8458,0.8435,0.8421,0.8368,0.8153,0.7870,0.7751
0,1064,0.4661,0.4339,0.4282,0.3862,0.5678,0.5469,0.5765,0.6083,0.5221,0.4951,0.4620
0,1066,0.9086,0.9304,0.9196,0.9015,0.9020,0.9029,0.9037,0.8814,0.8960,0.8942,0.8895
0,1067,0.6175,0.5977,0.4106,0.3587,0.6232,0.6390,0.6860,0.8291,0.5909,0.6192,0.5235
0,1068,0.7025,0.5821,0.7413,0.5072,0.7707,0.8270,0.8256,0.8349,0.6667,0.6354,0.6977
0,1069,0.7302,0.7417,0.7991,0.7436,0.8563,0.8471,0.8594,0.8395,0.6683,0.6683,0.6826
0,1070,0.7945,0.7411,0.8246,0.7251,0.8471,0.8260,0.8562,0.8346,0.6828,0.7199,0.8117
0,1071,0.7809,0.8017,0.8192,0.8421,0.7861,0.7445,0.7531,0.7747,0.7744,0.7737,0.7759
0,1072,0.8423,0.8704,0.9176,0.8649,0.8770,0.8680,0.8712,0.8733,0.8707,0.8767,0.8555
0,1073,0.4082,0.3704,0.3725,0.3550,0.3928,0.4114,0.3994,0.3974,0.3534,0.3344,0.3677
0,1076,0.6181,0.3881,0.6010,0.3860,0.5284,0.6734,0.6756,0.6639,0.5256,0.5278,0.5441
0,1078,0.4505,0.4993,0.4404,0.4090,0.4644,0.5629,0.5751,0.5463,0.3751,0.3733,0.3465
0,1082,0.7610,0.6841,0.7716,0.6670,0.7328,0.7230,0.7230,0.7140,0.7467,0.7528,0.7214
0,1084,0.7835,0.7984,0.8470,0.7200,0.8210,0.8522,0.8486,0.8576,0.7579,0.7692,0.7620
0,1085,0.6327,0.3540,0.7333,0.4776,0.6436,0.6010,0.6443,0.6198,0.6496,0.6065,0.6347
0,1086,0.7546,0.7459,0.7730,0.6028,0.7741,0.7925,0.7826,0.8108,0.7905,0.7907,0.7661
0,1087,0.0000,0.0174,0.9185,0.0227,0.0179,0.0179,0.0179,0.0178,0.0000,0.0000,0.0000
0,1089,0.9189,0.9270,0.9343,0.9564,0.9153,0.9165,0.9096,0.9037,0.9353,0.9331,0.9291
0,1091,0.9010,0.9047,0.9157,0.9266,0.9115,0.9099,0.9114,0.9209,0.8940,0.9002,0.9127
0,1094,0.8457,0.9283,0.9249,0.0281,0.8956,0.8905,0.8998,0.9019,0.9197,0.8366,0.9035
0,1096,0.1631,0.5506,0.6984,0.4393,0.6233,0.5551,0.6280,0.6034,0.3193,0.3621,0.2758
0,1097,0.5669,0.3575,0.5819,0.3119,0.5829,0.6493,0.6453,0.6422,0.5169,0.4987,0.5431
0,1098,0.6932,0.6093,0.6912,0.5640,0.7675,0.7844,0.7839,0.7850,0.6188,0.5712,0.6352
0,1099,0.6471,0.5907,0.6691,0.5564,0.6006,0.6595,0.6486,0.7816,0.6554,0.6541,0.5886
0,1100,0.5630,0.5942,0.6600,0.5963,0.6516,0.6691,0.6622,0.6516,0.5019,0.4855,0.4083
0,1101,0.7228,0.7364,0.7795,0.7941,0.7874,0.7395,0.7620,0.7965,0.7177,0.6911,0.6819
0,1102,0.4858,0.5601,0.4850,0.5099,0.4120,0.4237,0.4225,0.3815,0.6021,0.6144,0.5145
0,1103,0.9090,0.9195,0.9091,0.8571,0.9213,0.9218,0.9224,0.8877,0.9139,0.9041,0.9037
0,1106,0.0000,0.0059,0.0765,0.0085,0.6392,0.6635,0.6616,0.6252,0.0000,0.0000,0.0000
0,1107,0.8751,0.8116,0.8792,0.7459,0.8672,0.8727,0.8727,0.8756,0.8236,0.8034,0.8365
0,1110,0.5915,0.5490,0.7699,0.6195,0.5656,0.6683,0.7024,0.7145,0.7100,0.6852,0.5910
0,1111,0.5172,0.8328,0.8105,0.9885,0.6551,0.4788,0.5300,0.7702,0.9704,0.9704,0.9265
0,1112,0.6878,0.4790,0.6243,0.3358,0.6695,0.7073,0.7118,0.6950,0.5577,0.5725,0.6368
0,1113,0.7196,0.4694,0.6625,0.7515,0.7206,0.7164,0.7270,0.7157,0.5840,0.5686,0.5636
0,1114,0.7445,0.7031,0.7203,0.6384,0.7917,0.7962,0.7947,0.7533,0.7050,0.7050,0.6898
0,1116,0.8601,0.8816,0.9128,0.8945,0.9240,0.9107,0.9122,0.9235,0.8676,0.8661,0.8259
0,1117,0.5645,0.5942,0.6554,0.5963,0.6517,0.6692,0.6623,0.6516,0.5019,0.4855,0.4083
0,1118,0.4565,0.4818,0.5646,0.4764,0.4998,0.5756,0.5707,0.5319,0.5388,0.5144,0.5199
0,1119,0.9048,0.8735,0.8995,0.9301,0.9116,0.9105,0.9088,0.9036,0.9070,0.9070,0.9090
0,1120,0.8627,0.7299,0.9134,0.8664,0.8620,0.8747,0.8794,0.9447,0.8402,0.8187,0.8306
0,1121,0.7344,0.6980,0.6561,0.5850,0.6953,0.7048,0.6918,0.6930,0.6425,0.6390,0.5973
0,1123,0.7196,0.4694,0.6624,0.7515,0.7205,0.7164,0.7271,0.7157,0.5840,0.5686,0.5636
0,1124,0.7346,0.7393,0.7541,0.6760,0.7420,0.7233,0.7299,0.7490,0.6996,0.6935,0.7297
0,1125,0.6146,0.6983,0.9031,0.6323,0.8117,0.7911,0.8869,0.8970,0.5982,0.5957,0.5076
0,1126,0.5914,0.6046,0.6433,0.4400,0.6930,0.5875,0.6039,0.5937,0.6122,0.6125,0.5847
0,1127,0.6372,0.5698,0.5704,0.4704,0.6501,0.6608,0.6810,0.6942,0.6211,0.6005,0.6169
0,1133,0.8664,0.7149,0.8876,0.7986,0.8556,0.8849,0.8704,0.8941,0.8378,0.8582,0.8498
0,1134,0.3932,0.6676,0.5992,0.6343,0.5171,0.5468,0.5423,0.5463,0.7159,0.6847,0.5774
0,1136,0.8700,0.9075,0.9344,0.9550,0.9249,0.9171,0.9192,0.9240,0.9170,0.9085,0.9194
0,1138,0.6542,0.5891,0.7201,0.5154,0.7173,0.6630,0.6675,0.6561,0.6470,0.6401,0.6626
0,1139,0.8574,0.7854,0.8861,0.7194,0.8807,0.8886,0.8946,0.9082,0.8179,0.8120,0.8090
0,1140,0.3913,0.3211,0.4119,0.2610,0.5184,0.4837,0.4924,0.4137,0.3118,0.3499,0.2987
0,1141,0.8586,0.7387,0.8576,0.7980,0.8842,0.9014,0.9123,0.8897,0.8702,0.8592,0.8131
0,1142,0.7802,0.6895,0.2027,0.7999,0.7597,0.7496,0.7517,0.7557,0.8003,0.7451,0.6486
0,1143,0.4641,0.4771,0.5517,0.4550,0.5218,0.4927,0.4960,0.5118,0.5116,0.5140,0.4954
0,1145,0.6171,0.5176,0.6875,0.5335,0.6241,0.6758,0.6784,0.6709,0.5922,0.6047,0.6058
0,1146,0.8179,0.8507,0.8640,0.6913,0.8378,0.8208,0.8267,0.7700,0.7878,0.7272,0.8039
0,1147,0.6293,0.5417,0.6821,0.7693,0.7587,0.7214,0.7325,0.7426,0.5701,0.6033,0.6033
0,1148,0.4528,0.2914,0.2864,0.3409,0.4753,0.5227,0.5329,0.4925,0.2888,0.2742,0.3765
0,1149,0.4561,0.4980,0.6311,0.5251,0.4412,0.5515,0.5439,0.4728,0.6366,0.6453,0.5254
0,1150,0.4858,0.5601,0.4850,0.5099,0.4120,0.4237,0.4225,0.3815,0.6021,0.6144,0.5145
0,1151,0.9237,0.9117,0.9283,0.9595,0.8702,0.8711,0.8720,0.8723,0.9134,0.9105,0.9359
0,1152,0.8802,0.8903,0.9052,0.8878,0.8495,0.8769,0.8561,0.9057,0.9010,0.9132,0.8888
0,1153,0.8729,0.8932,0.9002,0.8862,0.9178,0.8912,0.8912,0.8928,0.9009,0.8891,0.9067
0,1154,0.8993,0.9210,0.9491,0.9092,0.9304,0.9312,0.9316,0.9453,0.8987,0.8923,0.8895
