2010,Nema,,,Nema weighted,,,Mirex2010,,,Mirex2009,,,Triads,,Tetrads,,,TriadsInput,,,TetradsOnly,,,Root,,,Bass,,,ChromaPrecision,,,ChromaRecall,,,ChromaFmeasure,,,,,
MD1 ('10),80.22%,,MD1 ('10),79.45%,,MD1 ('10),77.96,,EW4 ('10),78.19,,EW4 ('10),77.13,EW4 ('10),66.79,,EW4 ('10),79.29,,MM1 ('10),36.32,,EW4 ('10),80.99,,EW4 ('10),79.39,,CWB1 ('10),85.60,,MM1 ('10),84.05,,CWB1 ('10),83.47,,,,,CWB1 ('10)
MM1 ('10),79.63%,,MM1 ('10),78.55%,,EW4 ('10),77.79,,CWB1 ('10),77.72,,CWB1 ('10),76.54,EW3 ('10),66.15,,MD1 ('10),78.98,,MD1 ('10),17.66,,EW3 ('10),80.39,,EW3 ('10),79.26,,EW4 ('10),85.33,,MD1 ('10),82.91,,MD1 ('10),83.32,,,,,EW1 ('10)
CWB1 ('10),79.37%,,CWB1 ('10),78.43%,,CWB1 ('10),77.60,,KO1 ('10),77.65,,KO1 ('10),76.53,CWB1 ('10),65.95,,EW3 ('10),78.62,,RRHS2 ('10),2.46,,CWB1 ('10),80.28,,MM1 ('10),78.88,,EW3 ('10),85.02,,CWB1 ('10),82.10,,EW4 ('10),83.29,,,,,EW2 ('10)
KO1 ('10),78.87%,,KO1 ('10),77.61%,,MM1 ('10),77.42,,MD1 ('10),77.44,,MD1 ('10),76.42,UUOS1 ('10),65.93,,UUOS1 ('10),78.41,,CWB1 ('10),0.00,,MD1 ('10),79.69,,KO1 ('10),78.62,,MD1 ('10),84.49,,EW4 ('10),81.97,,EW3 ('10),82.99,,,,,EW3 ('10)
EW4 ('10),78.02%,,EW4 ('10),76.91%,,UUOS1 ('10),77.09,,EW3 ('10),77.31,,EW3 ('10),76.25,MD1 ('10),65.56,,CWB1 ('10),78.21,,EW1 ('10),0.00,,KO1 ('10),79.65,,UUOS1 ('10),77.88,,UUOS1 ('10),84.46,,EW3 ('10),81.68,,UUOS1 ('10),82.40,,,,,EW4 ('10)
EW3 ('10),77.18%,,EW3 ('10),75.87%,,EW3 ('10),77.06,,UUOS1 ('10),77.12,,UUOS1 ('10),75.99,KO1 ('10),65.08,,KO1 ('10),77.30,,EW2 ('10),0.00,,MM1 ('10),79.54,,CWB1 ('10),77.68,,KO1 ('10),83.99,,UUOS1 ('10),81.04,,KO1 ('10),81.86,,,,,KO1 ('10)
UUOS1 ('10),76.88%,,UUOS1 ('10),75.67%,,KO1 ('10),76.95,,MM1 ('10),75.64,,MM1 ('10),74.46,EW1 ('10),63.82,,MM1 ('10),76.81,,EW3 ('10),0.00,,UUOS1 ('10),79.34,,MK1 ('10),76.92,,EW1 ('10),83.17,,KO1 ('10),80.49,,MM1 ('10),81.68,,,,,MD1 ('10)
OFG1 ('10),75.51%,,OFG1 ('10),74.04%,,EW1 ('10),74.52,,EW1 ('10),74.32,,EW1 ('10),73.29,OFG1 ('10),62.47,,EW1 ('10),75.70,,EW4 ('10),0.00,,EW1 ('10),77.80,,MD1 ('10),76.83,,OFG1 ('10),82.69,,EW1 ('10),79.84,,EW1 ('10),81.14,,,,,MK1 ('10)
MK1 ('10),75.11%,,MK1 ('10),73.63%,,PVM1 ('10),73.11,,MK1 ('10),73.26,,MK1 ('10),72.19,PVM1 ('10),62.21,,OFG1 ('10),74.37,,KO1 ('10),0.00,,MK1 ('10),77.12,,EW1 ('10),76.20,,PVM1 ('10),82.18,,OFG1 ('10),79.34,,OFG1 ('10),80.65,,,,,MM1 ('10)
EW1 ('10),74.76%,,EW1 ('10),73.37%,,OFG1 ('10),73.07,,OFG1 ('10),72.93,,OFG1 ('10),71.80,EW2 ('10),62.04,,MK1 ('10),73.66,,MK1 ('10),0.00,,OFG1 ('10),75.76,,OFG1 ('10),75.21,,MK1 ('10),82.06,,EW2 ('10),78.78,,PVM1 ('10),80.08,,,,,OFG1 ('10)
PVM1 ('10),73.66%,,PVM1 ('10),72.70%,,MK1 ('10),72.88,,PVM1 ('10),72.38,,PVM1 ('10),71.51,MK1 ('10),61.97,,PVM1 ('10),73.63,,OFG1 ('10),0.00,,EW2 ('10),75.76,,EW2 ('10),74.41,,EW2 ('10),82.05,,PVM1 ('10),78.73,,EW2 ('10),80.06,,,,,PP1 ('10)
